,ds,yhat_upper
8898,2019-02-11,0.10193460585906262
8899,2019-02-12,0.10266247151847956
8900,2019-02-13,0.1011074505307305
8901,2019-02-14,0.11236849935798317
8902,2019-02-15,0.10468332167399946
8903,2019-02-18,0.09671268267237919
8904,2019-02-19,0.09385161428736485
8905,2019-02-20,0.09430804449190185
8906,2019-02-21,0.09624503096501301
8907,2019-02-22,0.09154599076918214
8908,2019-02-25,0.09741744098351553
8909,2019-02-26,0.08663531530013593
8910,2019-02-27,0.07648186674707826
8911,2019-02-28,0.09000732671458714
8912,2019-03-01,0.07843551553969395
8913,2019-03-02,0.054966656458387775
8914,2019-03-03,0.04616548705869702
8915,2019-03-04,0.07478727494979028
8916,2019-03-05,0.06919128521467575
8917,2019-03-06,0.06707618534847737
8918,2019-03-07,0.0621354539200224
8919,2019-03-08,0.06850805341776624
8920,2019-03-09,0.034240207438282697
8921,2019-03-10,0.030006659372322428
8922,2019-03-11,0.056112352245093505
8923,2019-03-12,0.06426696237978767
8924,2019-03-13,0.05184770188045071
8925,2019-03-14,0.05887921029343837
8926,2019-03-15,0.062004587952174915
8927,2019-03-16,0.011889011042901704
8928,2019-03-17,0.023431233688307664
8929,2019-03-18,0.053421243824615605
8930,2019-03-19,0.041398321975294305
8931,2019-03-20,0.055823265448943914
8932,2019-03-21,0.0504717113571357
8933,2019-03-22,0.0519120431542039
8934,2019-03-23,0.017017698035018437
8935,2019-03-24,0.01572896335486404
8936,2019-03-25,0.057098532065143384
8937,2019-03-26,0.05270617094717831
8938,2019-03-27,0.043980031140018395
8939,2019-03-28,0.06191631549233146
8940,2019-03-29,0.06260497156551673
8941,2019-03-30,0.01576262055745351
8942,2019-03-31,0.027073381047685294
8943,2019-04-01,0.0610334607687155
8944,2019-04-02,0.05441894274449793
8945,2019-04-03,0.05614392239660629
8946,2019-04-04,0.050502102638366214
8947,2019-04-05,0.06748870097173122
8948,2019-04-06,0.023507493219108583
8949,2019-04-07,0.02037779296850017
8950,2019-04-08,0.051079003893552036
8951,2019-04-09,0.06550820505328624
8952,2019-04-10,0.060231311102576776
8953,2019-04-11,0.059336688428433496
8954,2019-04-12,0.061198687043137405
8955,2019-04-13,0.02827994095963225
8956,2019-04-14,0.029500252971298588
8957,2019-04-15,0.06267362062897575
8958,2019-04-16,0.052545056911380054
8959,2019-04-17,0.051601531651926685
8960,2019-04-18,0.05772874784024286
8961,2019-04-19,0.05853580107470496
8962,2019-04-20,0.02800505212456008
8963,2019-04-21,0.0077210900798271595
8964,2019-04-22,0.049333231998062416
8965,2019-04-23,0.06085355845666374
8966,2019-04-24,0.04312180901284351
8967,2019-04-25,0.04550108911060699
8968,2019-04-26,0.04889098411459018
8969,2019-04-27,0.00689339856027493
8970,2019-04-28,0.009619358339252891
8971,2019-04-29,0.048052480411322165
8972,2019-04-30,0.04137921982261862
8973,2019-05-01,0.046083433646413936
8974,2019-05-02,0.04054066257132079
8975,2019-05-03,0.04823217691871907
8976,2019-05-04,0.011020850322873095
8977,2019-05-05,0.009409233357847198
8978,2019-05-06,0.04361529073537327
8979,2019-05-07,0.045858023060495315
8980,2019-05-08,0.04454464545762577
8981,2019-05-09,0.051106390457546544
8982,2019-05-10,0.04778784378438205
8983,2019-05-11,0.009925658975509215
8984,2019-05-12,0.015746504869388698
8985,2019-05-13,0.03649198592340108
8986,2019-05-14,0.04362262273456351
8987,2019-05-15,0.03671090215950919
8988,2019-05-16,0.04427581154585015
8989,2019-05-17,0.04555975121897952
8990,2019-05-18,0.008735355692914415
8991,2019-05-19,0.000752525232433356
8992,2019-05-20,0.03237554576547792
8993,2019-05-21,0.03418017065169574
8994,2019-05-22,0.031877697354327675
8995,2019-05-23,0.0337856661268221
8996,2019-05-24,0.03621276701903029
8997,2019-05-25,-0.007847529169900313
8998,2019-05-26,0.0008620743377173761
8999,2019-05-27,0.026083296269853933
9000,2019-05-28,0.029785944787499886
9001,2019-05-29,0.026103673683764872
9002,2019-05-30,0.02790198426496025
9003,2019-05-31,0.027088516780434613
9004,2019-06-01,-0.016488536226133103
9005,2019-06-02,-0.02528567232086256
9006,2019-06-03,0.017749337999393107
9007,2019-06-04,0.016448128047942004
9008,2019-06-05,0.008637626861772428
9009,2019-06-06,0.0074174428785978765
9010,2019-06-07,0.003873638777171413
9011,2019-06-08,-0.023149449088575944
9012,2019-06-09,-0.02842933056061827
9013,2019-06-10,0.009381795192879109
9014,2019-06-11,0.014761081835182658
9015,2019-06-12,0.007347236014174929
9016,2019-06-13,0.01109973656781232
9017,2019-06-14,-0.003948259554945805
9018,2019-06-15,-0.028933096810730027
9019,2019-06-16,-0.01816219172773353
9020,2019-06-17,0.015215419136154252
9021,2019-06-18,0.01281040198186663
9022,2019-06-19,0.010882175806987658
9023,2019-06-20,0.002988664346309149
9024,2019-06-21,0.012934156992412404
9025,2019-06-22,-0.023237081448350672
9026,2019-06-23,-0.03021014064395082
9027,2019-06-24,-0.00025791444399752287
9028,2019-06-25,0.004544606643814897
9029,2019-06-26,-0.0011816098449994056
9030,2019-06-27,0.007023627065605837
9031,2019-06-28,0.006282579088015113
9032,2019-06-29,-0.030153243840419928
9033,2019-06-30,-0.03067991780935028
9034,2019-07-01,0.009564476654069943
9035,2019-07-02,-0.004515186368833557
9036,2019-07-03,0.0028006098187071736
9037,2019-07-04,-0.0012989909437259967
9038,2019-07-05,0.0008268075765948688
9039,2019-07-06,-0.04467910614593591
9040,2019-07-07,-0.03244859658556567
9041,2019-07-08,-0.007041911432710544
9042,2019-07-09,-0.0028258929365327042
